運行日,運行ID1,トリップ番号,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,自動車の用途,edge_id_origin,edge_id_destination,rou_id
20211003,322,4,20211003230825,2,139.8990561,35.9306756,20211003232804,2,139.7784337,35.9909968,1,1346889215N,cluster_1341042425_3295797668N,20211003_322_4
20211003,372,1,20211003134656,2,139.8703981,35.9312255,20211003135930,2,139.8983762,35.9310955,0,1346871196N,cluster_1347488752_9432826227N,20211003_372_1
20211003,491,1,20211003142207,1,139.8280764,35.8004852,20211003142928,0,139.8994583,35.877944,1,559436170N,5478033279N,20211003_491_1
20211003,491,2,20211003222006,0,139.8998083,35.877924,20211003222815,1,139.8283564,35.8007151,1,5478033280N,559436170N,20211003_491_2
20211003,534,4,20211003213412,0,139.70131,35.92695,20211003215117,1,139.76079,35.8007,2,370268754N,308934664N,20211003_534_4
20211003,720,3,20211003064713,1,139.8285064,35.8011251,20211003065418,0,139.8987584,35.8775941,3,559436170N,5478033279N,20211003_720_3
20211003,733,1,20211003070214,1,139.8283664,35.8009251,20211003070842,0,139.8986384,35.8775341,0,559436170N,5478033279N,20211003_733_1
20211003,733,2,20211003145350,2,139.893555,35.955883,20211003152052,1,139.8281564,35.8003752,0,1346902467N,559436170N,20211003_733_2
20211003,1134,2,20211003223911,0,139.8996483,35.877844,20211003224611,1,139.8281864,35.8004452,4,5478033280N,559436170N,20211003_1134_2
20211003,1139,2,20211003174120,2,139.70198,35.81041,20211003174430,3,139.70428,35.81435,0,1740454181N,cluster_1165290499_1740031486N,20211003_1139_2
20211003,1139,3,20211003185411,2,139.7002,35.81373,20211003185411,2,139.7002,35.81373,0,1168292225N,1168292225N,20211003_1139_3
20211003,1256,1,20211003115150,2,139.8978185,35.8914312,20211003115303,2,139.8994984,35.8872821,1,1505134271N,cluster_11662327406_5684401837N,20211003_1256_1
20211003,1256,2,20211003120302,0,139.8997283,35.877694,20211003121535,2,139.8693522,35.8425491,1,5478033280N,cluster_11329187962_313011715N,20211003_1256_2
20211003,1256,3,20211003164858,2,139.8758817,35.8420892,20211003165230,2,139.8834609,35.8430892,1,6417612652N,811016087N,20211003_1256_3
20211003,1256,4,20211003191947,2,139.8962596,35.8445691,20211003192210,2,139.8999588,35.8539079,1,310493876N,cluster_1503601696_6904893997_6905062009_720626835N,20211003_1256_4
20211003,1290,1,20211003141019,0,139.8984384,35.8772341,20211003141815,1,139.8281564,35.8003752,2,264005498N,559436170N,20211003_1290_1
20211003,1320,1,20211003003313,0,139.7010463,35.8468144,20211003004448,0,139.8780227,35.8008046,2,2550132181N,465290731N,20211003_1320_1
20211003,1320,2,20211003130926,0,139.8779528,35.8005746,20211003131851,0,139.7702501,35.848706,2,465290731N,308788512N,20211003_1320_2
20211003,1320,3,20211003144448,2,139.700017,35.8311563,20211003144955,2,139.7003669,35.8337759,2,1174868376N,5575128822N,20211003_1320_3
20211003,1320,4,20211003185337,0,139.7009163,35.8467944,20211003190620,0,139.8780327,35.8007146,2,2550132181N,465290731N,20211003_1320_4
20211003,1891,1,20211003201949,1,139.8279664,35.8002852,20211003202140,1,139.8473845,35.8165727,1,559436170N,11122648165N,20211003_1891_1
20211003,1917,1,20211003080528,2,139.7004861,35.8546034,20211003080936,2,139.720704,35.8631927,1,6443888640N,9211398357N,20211003_1917_1
20211003,1917,2,20211003084344,2,139.7126748,35.8601829,20211003084600,2,139.7007161,35.8547634,1,1709997444N,cluster_1408533133_1874057149N,20211003_1917_2
20211003,1990,1,20211003064552,2,139.8657634,35.8084037,20211003072436,2,139.7001533,35.9277252,3,6380199222N,4527589470N,20211003_1990_1
20211003,1990,4,20211003105130,0,139.7001633,35.9281452,20211003110848,0,139.8779827,35.8015245,3,370268754N,465290731N,20211003_1990_4
20211003,1990,5,20211003141611,2,139.8509747,35.8011248,20211003141615,2,139.8511447,35.8011348,3,1619696282N,1619696282N,20211003_1990_5
20211003,2013,1,20211003014708,1,139.760362,35.8017235,20211003015739,0,139.7006433,35.9273953,0,308934664N,529143487N,20211003_2013_1
20211003,2064,1,20211003201752,2,139.86343,35.94923,20211003204123,1,139.82901,35.80169,3,1347504222N,559436170N,20211003_2064_1
20211003,2091,1,20211003170757,2,139.7977686,35.8082539,20211003170920,2,139.8018785,35.800365,1,1179209121N,1498816150N,20211003_2091_1
20211003,2176,1,20211003142136,0,139.7009863,35.8468044,20211003143309,0,139.8780927,35.8008846,0,2550132181N,465290731N,20211003_2176_1
20211003,2178,1,20211003113252,1,139.760822,35.8000637,20211003113640,1,139.7407129,35.846655,4,308934664N,563661401N,20211003_2178_1
20211003,2178,2,20211003120723,2,139.727054,35.8476547,20211003120737,2,139.7256841,35.8479746,4,cluster_2653248022_9587622260N,2653248029N,20211003_2178_2
20211003,2178,3,20211003135340,2,139.7141251,35.8486143,20211003135708,2,139.7015361,35.8526337,4,7477615915N,cluster_10797200637_10797200733_10797200862_10797200863_#6moreN,20211003_2178_3
20211003,2292,1,20211003070736,0,139.8994283,35.877734,20211003071520,0,139.8127861,35.8508374,4,5478033280N,1519451927N,20211003_2292_1
20211003,2292,2,20211003090112,2,139.7717303,35.8361378,20211003091221,2,139.715115,35.8492043,4,cluster_1406756320_6576324823N,7477615897N,20211003_2292_2
20211003,2292,3,20211003165107,0,139.7007363,35.8467644,20211003170425,0,139.8995283,35.877984,4,2550132181N,5478033279N,20211003_2292_3
20211003,2470,1,20211003085254,2,139.7000964,35.8466944,20211003085430,2,139.7112453,35.8486643,4,7204829785N,1955925665N,20211003_2470_1
20211003,2649,1,20211003061537,1,139.760812,35.8001037,20211003062534,0,139.7009333,35.9271054,0,308934664N,529143487N,20211003_2649_1
20211003,2649,5,20211003193022,0,139.7006233,35.9276853,20211003194357,1,139.760852,35.8004337,0,370268754N,308934664N,20211003_2649_5
20211003,2680,1,20211003075920,2,139.8992684,35.882733,20211003080001,0,139.8996683,35.8785639,3,1503594925N,5478033279N,20211003_2680_1
20211003,2803,5,20211003230836,0,139.8779928,35.8002946,20211003231534,0,139.7724899,35.8485462,4,465290731N,308788512N,20211003_2803_5
20211003,2803,6,20211003231552,0,139.7668505,35.8490457,20211003231918,0,139.7017063,35.8468244,4,308788512N,2550126961N,20211003_2803_6
20211003,2872,2,20211003082358,0,139.7013963,35.8468643,20211003082631,0,139.748602,35.8524145,1,2550132181N,206411408N,20211003_2872_2
20211003,2872,3,20211003082648,0,139.7541116,35.8513248,20211003083708,0,139.8981584,35.8772941,1,1781291552N,264005498N,20211003_2872_3
20211003,2872,4,20211003170918,0,139.8997483,35.877894,20211003172820,0,139.7005364,35.8466144,1,5478033280N,2550126961N,20211003_2872_4
20211003,2939,1,20211003114926,2,139.7991969,35.8538869,20211003120315,0,139.7007033,35.9273553,4,309590520N,529143487N,20211003_2939_1
20211003,3182,5,20211003163113,1,139.76079,35.80011,20211003164557,2,139.70036,35.89269,4,308934664N,1344684648N,20211003_3182_5
20211003,3220,1,20211003071634,1,139.760362,35.8016835,20211003071859,1,139.756462,35.8324173,0,308934664N,5910007400N,20211003_3220_1
20211003,3277,8,20211003150340,0,139.8765227,35.8063239,20211003150340,0,139.8765227,35.8063239,1,465288662N,465288662N,20211003_3277_8
20211003,3277,10,20211003150348,0,139.8760626,35.8081836,20211003150554,0,139.8595731,35.8358599,1,465288662N,264005881N,20211003_3277_10
20211003,3277,12,20211003150607,0,139.8565332,35.8386995,20211003151601,0,139.7353131,35.8533741,1,360601233N,309601745N,20211003_3277_12
20211003,3277,13,20211003151817,0,139.7201128,35.8930393,20211003152041,0,139.7011632,35.9268554,1,4875391513N,529143487N,20211003_3277_13
20211003,3277,30,20211003184529,0,139.7003733,35.9279252,20211003190458,0,139.8781427,35.8007746,1,370268754N,465290731N,20211003_3277_30
20211003,3356,1,20211003053001,1,139.8278564,35.8000652,20211003053655,0,139.8996683,35.878054,1,559436170N,5478033279N,20211003_3356_1
20211003,3356,2,20211003142722,0,139.8997483,35.877894,20211003143209,1,139.8543137,35.8299808,1,5478033280N,559397211N,20211003_3356_2
20211003,3606,2,20211003135858,0,139.8990183,35.8775241,20211003140704,1,139.8283164,35.8006551,2,5478033280N,559436170N,20211003_3606_2
20211003,3606,4,20211003183724,1,139.8278864,35.8001452,20211003184432,0,139.8996283,35.877994,2,559436170N,5478033279N,20211003_3606_4
20211003,3649,1,20211003055917,3,139.8986201,35.8275412,20211003061314,2,139.8629527,35.8414692,0,332940459N,3774578530N,20211003_3649_1
20211003,3649,2,20211003064746,2,139.8620626,35.8455486,20211003065505,2,139.8991394,35.8441492,0,906319185N,313488223N,20211003_3649_2
20211003,3712,1,20211003065214,1,139.8280864,35.8005052,20211003065910,0,139.8989683,35.877704,1,559436170N,5478033279N,20211003_3712_1
