運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,edge_id_origin,edge_id_destination,rou_id
20211003,5,2,1,20211003004523,1,139.70837,35.75031,20211003004857,2,139.69823,35.75592,4361138358N,2323880614N,20211003_5_2
20211003,5,3,1,20211003120734,2,139.70126,35.76024,20211003121449,1,139.70844,35.75024,2323880614N,5432829255N,20211003_5_3
20211003,111,1,2,20211003050836,2,139.9984415,35.8115263,20211003053446,2,139.8488163,35.7508117,244092449N,2381951330N,20211003_111_1
20211003,111,2,2,20211003121502,2,139.8486364,35.7505517,20211003124645,2,139.9162491,35.8096637,2381951330N,244092449N,20211003_111_2
20211003,111,3,2,20211003160535,2,139.9251881,35.8153635,20211003163233,2,139.9864931,35.8029375,244092449N,cluster_4821176266_4821176269_503939301_5596215849_#2moreN,20211003_111_3
20211003,111,4,2,20211003174126,2,139.9982915,35.8114863,20211003174126,2,139.9982915,35.8114863,244092449N,244092449N,20211003_111_4
20211003,113,1,1,20211003082009,2,139.6844304,35.7524672,20211003082120,2,139.6811108,35.7500374,cluster_1415588159_9369282555N,cluster_1415588159_9369282555N,20211003_113_1
20211003,113,5,1,20211003194034,2,139.7036785,35.7608468,20211003194339,1,139.7083484,35.7541077,9349903034N,5432829255N,20211003_113_5
20211003,114,3,2,20211003155238,1,139.6256938,36.0479185,20211003155747,0,139.6402012,36.0816635,370268754N,529143487N,20211003_114_3
20211003,266,2,1,20211003184927,2,139.8485264,35.7504417,20211003185102,2,139.8570253,35.7589408,2381951330N,1417152390N,20211003_266_2
20211003,292,1,1,20211003105223,2,139.967424,35.8157956,20211003121206,2,139.8486464,35.7505617,244092449N,2381951330N,20211003_292_1
20211003,292,2,1,20211003142530,2,139.8565457,35.7510217,20211003151341,2,139.9764142,35.798318,1417152390N,cluster_2834927872_5572419134N,20211003_292_2
20211003,292,3,1,20211003155042,2,139.9764142,35.798338,20211003160718,2,139.9751631,35.8186853,cluster_2834927872_5572419134N,cluster_405091279_9383255144_9383255148_9383255151_#1moreN,20211003_292_3
20211003,292,4,1,20211003162953,2,139.975393,35.8184953,20211003163028,2,139.9786529,35.8162257,cluster_405091279_9383255144_9383255148_9383255151_#1moreN,cluster_405091279_9383255144_9383255148_9383255151_#1moreN,20211003_292_4
20211003,292,5,1,20211003185027,2,139.9762931,35.8168355,20211003185209,2,139.9734531,35.8199451,cluster_405091279_9383255144_9383255148_9383255151_#1moreN,9383255167N,20211003_292_5
20211003,292,6,1,20211003190958,2,139.9730132,35.820225,20211003191142,2,139.977013,35.8174555,9383255167N,cluster_405091279_9383255144_9383255148_9383255151_#1moreN,20211003_292_6
20211003,315,1,1,20211003103725,1,139.7084,35.75054,20211003104906,1,139.62505,35.84929,4361138358N,2550126961N,20211003_315_1
20211003,315,2,1,20211003135921,2,139.62512,35.93664,20211003140116,2,139.6255,35.93579,8286000367N,8286000367N,20211003_315_2
20211003,315,3,1,20211003143826,1,139.62541,35.84862,20211003145032,1,139.70856,35.75171,2550132181N,5432829255N,20211003_315_3
20211003,322,4,1,20211003225605,0,139.9994837,35.9801741,20211003232804,2,139.7784337,35.9909968,350010536N,cluster_1341042425_3295797668N,20211003_322_4
20211003,372,1,1,20211003134656,2,139.8703981,35.9312255,20211003135942,2,139.9003761,35.9302056,1346871196N,1347488738N,20211003_372_1
20211003,491,1,1,20211003141812,1,139.820879,35.7504714,20211003143028,0,139.9120973,35.887552,7902559674N,350010550N,20211003_491_1
20211003,491,2,1,20211003221440,0,139.9635398,35.9314881,20211003223256,1,139.821029,35.7505614,350010536N,7902559675N,20211003_491_2
20211003,518,1,1,20211003134031,2,139.852766,35.7519516,20211003134147,2,139.8502462,35.7502217,1417152390N,2381951330N,20211003_518_1
20211003,518,2,1,20211003184312,2,139.8492163,35.7507217,20211003184421,2,139.8534859,35.7524815,2381951330N,1417152390N,20211003_518_2
20211003,534,4,1,20211003212357,0,139.64027,36.08215,20211003220157,1,139.73694,35.75052,370268754N,5432829255N,20211003_534_4
20211003,619,1,1,20211003193052,2,139.6577115,35.7860224,20211003195419,2,139.6838002,35.7576865,2622527330N,cluster_1415588159_9369282555N,20211003_619_1
20211003,619,2,1,20211003222557,2,139.6940697,35.7509777,20211003222755,2,139.68714,35.7556669,2323880614N,cluster_1415588095_9369282554N,20211003_619_2
20211003,621,1,1,20211003174645,2,139.8274281,35.7543709,20211003174956,1,139.821029,35.7506314,cluster_3417309134_9967280062N,7902559675N,20211003_621_1
20211003,663,1,1,20211003084250,1,139.7083685,35.7503882,20211003084449,1,139.6943088,35.7714452,4361138358N,5432829255N,20211003_663_1
20211003,663,2,1,20211003084510,1,139.6886992,35.7732548,20211003084549,1,139.6779,35.7762242,4361138358N,5432829255N,20211003_663_2
20211003,697,1,1,20211003064807,2,139.8346372,35.7597104,20211003065413,1,139.821029,35.7505914,cluster_1482298435_5896165668N,7902559675N,20211003_697_1
20211003,720,3,1,20211003064305,1,139.8208791,35.7502914,20211003065519,0,139.9121473,35.887612,7902559674N,350010550N,20211003_720_3
20211003,733,1,1,20211003065240,2,139.7697635,35.75131,20211003071741,2,139.9047258,35.928426,cluster_10122776283_10122776293_10122776297_1170438139N,cluster_1347488713_9420270500N,20211003_733_1
20211003,733,2,1,20211003145350,2,139.893555,35.955883,20211003152336,1,139.8229177,35.7712987,1346902467N,7902559675N,20211003_733_2
20211003,794,7,1,20211003174351,0,139.6253241,35.807778,20211003175628,1,139.7082984,35.7544077,2550132181N,5432829255N,20211003_794_7
20211003,860,3,1,20211003144514,0,139.6399112,36.0832533,20211003145032,2,139.6261737,36.0479585,370268754N,2822042734N,20211003_860_3
20211003,875,1,1,20211003055821,2,139.6627882,35.9039669,20211003060459,2,139.6391589,35.9462803,cluster_2420424851_6751905416_6751905418N,9969611476N,20211003_875_1
20211003,875,2,1,20211003062137,2,139.6393989,35.9460503,20211003064319,0,139.6251241,35.807398,9969611476N,2550126961N,20211003_875_2
20211003,875,11,1,20211003173653,0,139.625974,35.8084578,20211003182044,2,139.6550588,35.9073064,2550132181N,cluster_2420424851_6751905416_6751905418N,20211003_875_11
20211003,875,12,1,20211003183522,2,139.6643681,35.8987876,20211003184652,2,139.6687978,35.9000374,1344678194N,1344678194N,20211003_875_12
20211003,984,1,1,20211003115652,2,139.7064379,35.7696358,20211003121100,2,139.662931,35.7881722,2323880614N,2622527330N,20211003_984_1
20211003,984,2,1,20211003124851,2,139.6699704,35.7867626,20211003125629,2,139.7032982,35.767236,2622527330N,2323880614N,20211003_984_2
20211003,984,3,1,20211003130931,2,139.7065583,35.7590871,20211003131128,2,139.7084285,35.7501082,9349903034N,9349903034N,20211003_984_3
20211003,984,4,1,20211003152045,2,139.7082885,35.7501182,20211003152338,2,139.7062783,35.7590471,9349903034N,9349903034N,20211003_984_4
20211003,1033,4,2,20211003152046,2,139.9848414,36.0821421,20211003154721,2,139.9984168,35.9348289,1355066960N,cluster_1346860599_9485794318N,20211003_1033_4
20211003,1033,6,2,20211003224533,2,139.9911165,35.9486274,20211003230553,2,139.9848814,36.0819921,9534316143N,1355066960N,20211003_1033_6
20211003,1134,2,1,20211003223117,0,139.9998037,35.9802041,20211003224949,1,139.821019,35.7509113,350010536N,7902559675N,20211003_1134_2
20211003,1139,1,1,20211003130426,2,139.66739,35.80888,20211003131835,1,139.70842,35.75023,1165290867N,5432829255N,20211003_1139_1
20211003,1139,2,1,20211003171611,2,139.70831,35.75034,20211003174430,3,139.70428,35.81435,9349903034N,cluster_1165290499_1740031486N,20211003_1139_2
20211003,1139,3,1,20211003185411,2,139.7002,35.81373,20211003190229,2,139.66919,35.81244,1168292225N,1739955909N,20211003_1139_3
20211003,1169,1,1,20211003130356,2,139.6267394,35.960297,20211003133150,2,139.6714683,36.0822939,4057411508N,cluster_4788176867_5611602550_7081581489N,20211003_1169_1
20211003,1256,1,1,20211003115150,2,139.8978185,35.8914312,20211003115303,2,139.8994984,35.8872821,1505134271N,cluster_11662327406_5684401837N,20211003_1256_1
20211003,1256,2,1,20211003120302,0,139.8997283,35.877694,20211003121535,2,139.8693522,35.8425491,5478033280N,cluster_11329187962_313011715N,20211003_1256_2
20211003,1256,3,1,20211003164858,2,139.8758817,35.8420892,20211003165230,2,139.8834609,35.8430892,6417612652N,811016087N,20211003_1256_3
20211003,1256,4,1,20211003191947,2,139.8962596,35.8445691,20211003192252,2,139.9008587,35.8555877,310493876N,cluster_4526082218_6905062040N,20211003_1256_4
20211003,1256,5,1,20211003201515,2,139.9033478,35.8706055,20211003202003,2,139.9089476,35.8839227,cluster_1503593760_6905062084_974545417N,3815909512N,20211003_1256_5
20211003,1290,1,1,20211003140204,0,139.9988738,35.9800941,20211003142206,1,139.8210189,35.7513612,350010536N,7902559675N,20211003_1290_1
