運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination
20211003,5,2,1,20211003004523,1,139.70837,35.75031,20211003004857,2,139.69823,35.75592
20211003,5,3,1,20211003120734,2,139.70126,35.76024,20211003121449,1,139.70844,35.75024
20211003,111,1,2,20211003050836,2,139.9984415,35.8115263,20211003053446,2,139.8488163,35.7508117
20211003,111,2,2,20211003121502,2,139.8486364,35.7505517,20211003124645,2,139.9162491,35.8096637
20211003,111,3,2,20211003160535,2,139.9251881,35.8153635,20211003163233,2,139.9864931,35.8029375
20211003,111,4,2,20211003174126,2,139.9982915,35.8114863,20211003174126,2,139.9982915,35.8114863
20211003,113,1,1,20211003082009,2,139.6844304,35.7524672,20211003082120,2,139.6811108,35.7500374
20211003,113,5,1,20211003194034,2,139.7036785,35.7608468,20211003194339,1,139.7083484,35.7541077
20211003,114,3,2,20211003155238,1,139.6256938,36.0479185,20211003155747,0,139.6402012,36.0816635
20211003,266,2,1,20211003184927,2,139.8485264,35.7504417,20211003185102,2,139.8570253,35.7589408
20211003,292,1,1,20211003105223,2,139.967424,35.8157956,20211003121206,2,139.8486464,35.7505617
20211003,292,2,1,20211003142530,2,139.8565457,35.7510217,20211003151341,2,139.9764142,35.798318
20211003,292,3,1,20211003155042,2,139.9764142,35.798338,20211003160718,2,139.9751631,35.8186853
20211003,292,4,1,20211003162953,2,139.975393,35.8184953,20211003163028,2,139.9786529,35.8162257
20211003,292,5,1,20211003185027,2,139.9762931,35.8168355,20211003185209,2,139.9734531,35.8199451
20211003,292,6,1,20211003190958,2,139.9730132,35.820225,20211003191142,2,139.977013,35.8174555
20211003,315,1,1,20211003103725,1,139.7084,35.75054,20211003104906,1,139.62505,35.84929
20211003,315,2,1,20211003135921,2,139.62512,35.93664,20211003140116,2,139.6255,35.93579
20211003,315,3,1,20211003143826,1,139.62541,35.84862,20211003145032,1,139.70856,35.75171
20211003,322,4,1,20211003225605,0,139.9994837,35.9801741,20211003232804,2,139.7784337,35.9909968
20211003,372,1,1,20211003134656,2,139.8703981,35.9312255,20211003135942,2,139.9003761,35.9302056
20211003,491,1,1,20211003141812,1,139.820879,35.7504714,20211003143028,0,139.9120973,35.887552
20211003,491,2,1,20211003221440,0,139.9635398,35.9314881,20211003223256,1,139.821029,35.7505614
20211003,518,1,1,20211003134031,2,139.852766,35.7519516,20211003134147,2,139.8502462,35.7502217
20211003,518,2,1,20211003184312,2,139.8492163,35.7507217,20211003184421,2,139.8534859,35.7524815
20211003,534,4,1,20211003212357,0,139.64027,36.08215,20211003220157,1,139.73694,35.75052
20211003,619,1,1,20211003193052,2,139.6577115,35.7860224,20211003195419,2,139.6838002,35.7576865
20211003,619,2,1,20211003222557,2,139.6940697,35.7509777,20211003222755,2,139.68714,35.7556669
20211003,621,1,1,20211003174645,2,139.8274281,35.7543709,20211003174956,1,139.821029,35.7506314
20211003,663,1,1,20211003084250,1,139.7083685,35.7503882,20211003084449,1,139.6943088,35.7714452
20211003,663,2,1,20211003084510,1,139.6886992,35.7732548,20211003084549,1,139.6779,35.7762242
20211003,697,1,1,20211003064807,2,139.8346372,35.7597104,20211003065413,1,139.821029,35.7505914
20211003,720,3,1,20211003064305,1,139.8208791,35.7502914,20211003065519,0,139.9121473,35.887612
20211003,733,1,1,20211003065240,2,139.7697635,35.75131,20211003071741,2,139.9047258,35.928426
20211003,733,2,1,20211003145350,2,139.893555,35.955883,20211003152336,1,139.8229177,35.7712987
20211003,794,7,1,20211003174351,0,139.6253241,35.807778,20211003175628,1,139.7082984,35.7544077
20211003,860,3,1,20211003144514,0,139.6399112,36.0832533,20211003145032,2,139.6261737,36.0479585
20211003,875,1,1,20211003055821,2,139.6627882,35.9039669,20211003060459,2,139.6391589,35.9462803
20211003,875,2,1,20211003062137,2,139.6393989,35.9460503,20211003064319,0,139.6251241,35.807398
20211003,875,11,1,20211003173653,0,139.625974,35.8084578,20211003182044,2,139.6550588,35.9073064
20211003,875,12,1,20211003183522,2,139.6643681,35.8987876,20211003184652,2,139.6687978,35.9000374
20211003,984,1,1,20211003115652,2,139.7064379,35.7696358,20211003121100,2,139.662931,35.7881722
20211003,984,2,1,20211003124851,2,139.6699704,35.7867626,20211003125629,2,139.7032982,35.767236
20211003,984,3,1,20211003130931,2,139.7065583,35.7590871,20211003131128,2,139.7084285,35.7501082
20211003,984,4,1,20211003152045,2,139.7082885,35.7501182,20211003152338,2,139.7062783,35.7590471
20211003,1033,4,2,20211003152046,2,139.9848414,36.0821421,20211003154721,2,139.9984168,35.9348289
20211003,1033,6,2,20211003224533,2,139.9911165,35.9486274,20211003230553,2,139.9848814,36.0819921
20211003,1134,2,1,20211003223117,0,139.9998037,35.9802041,20211003224949,1,139.821019,35.7509113
20211003,1139,1,1,20211003130426,2,139.66739,35.80888,20211003131835,1,139.70842,35.75023
20211003,1139,2,1,20211003171611,2,139.70831,35.75034,20211003174430,3,139.70428,35.81435
20211003,1139,3,1,20211003185411,2,139.7002,35.81373,20211003190229,2,139.66919,35.81244
20211003,1169,1,1,20211003130356,2,139.6267394,35.960297,20211003133150,2,139.6714683,36.0822939
20211003,1256,1,1,20211003115150,2,139.8978185,35.8914312,20211003115303,2,139.8994984,35.8872821
20211003,1256,2,1,20211003120302,0,139.8997283,35.877694,20211003121535,2,139.8693522,35.8425491
20211003,1256,3,1,20211003164858,2,139.8758817,35.8420892,20211003165230,2,139.8834609,35.8430892
20211003,1256,4,1,20211003191947,2,139.8962596,35.8445691,20211003192252,2,139.9008587,35.8555877
20211003,1256,5,1,20211003201515,2,139.9033478,35.8706055,20211003202003,2,139.9089476,35.8839227
20211003,1290,1,1,20211003140204,0,139.9988738,35.9800941,20211003142206,1,139.8210189,35.7513612
20211003,1314,2,1,20211003123302,1,139.7083585,35.7502882,20211003123532,1,139.6924689,35.7723551
20211003,1320,1,1,20211003002819,0,139.625644,35.8081079,20211003004848,0,139.9188814,35.7503715
20211003,1320,2,1,20211003130435,0,139.9187814,35.7500615,20211003131851,0,139.7702501,35.848706
20211003,1320,3,1,20211003144233,2,139.6961774,35.8306863,20211003150738,0,139.6250641,35.807338
20211003,1320,4,1,20211003184816,0,139.625444,35.8078979,20211003191056,0,139.9188114,35.7507614
20211003,1359,1,1,20211003082428,2,139.7080583,35.7552476,20211003082513,2,139.7113083,35.7505082
20211003,1359,2,1,20211003112153,2,139.7101683,35.7511881,20211003112153,2,139.7101683,35.7511881
20211003,1394,2,1,20211003190733,2,139.6538304,35.8475737,20211003191603,2,139.6282931,35.8395941
20211003,1437,1,1,20211003181156,2,139.9631812,35.9063314,20211003182724,0,139.9999236,35.9803641
20211003,1437,2,1,20211003194736,0,139.9996037,35.9801741,20211003195243,0,139.9604203,35.9266186
