id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss
t_20211031_2167629_6,248174349_0,243877276#1_1,DEFAULT_VEHTYPE,53.00,632.69,0.00,0.00,14.10,55.00,632.69,0.00,0.00,14.02
t_20211024_634417_1,-120273844#1_1,-120273887#1_1,DEFAULT_VEHTYPE,54.00,576.83,0.00,0.00,10.04,54.00,576.83,0.00,0.00,9.99
t_20211128_410319_1,-120273844#1_1,-120273887#1_1,DEFAULT_VEHTYPE,53.00,576.83,0.00,0.00,9.80,54.00,576.83,0.00,0.00,11.79
t_20211017_4633904_1,-100976223#1_1,-120957314_1,DEFAULT_VEHTYPE,61.00,623.71,3.00,0.00,15.12,63.00,623.71,2.00,0.00,13.61
t_20211017_141812_1,651197726#0_0,-285604737#1_1,DEFAULT_VEHTYPE,72.00,871.21,0.00,0.00,9.60,78.00,871.21,0.00,0.00,9.69
t_20211121_833024_30,-277743732#1_1,120273844#1_1,DEFAULT_VEHTYPE,59.00,577.67,0.00,0.00,11.60,52.00,577.67,0.00,0.00,9.97
t_20211024_195008_1,605105364#3_1,233696887#1_1,DEFAULT_VEHTYPE,66.00,541.62,13.00,0.00,23.05,63.00,541.62,13.00,0.00,25.54
t_20211128_1649271_1,119770963_1,-119770963_1,DEFAULT_VEHTYPE,57.00,629.14,0.00,0.00,12.32,68.00,629.14,0.00,0.00,12.23
t_20211010_4934109_1,229626862#0_1,-120112442#16_1,DEFAULT_VEHTYPE,67.00,689.64,0.00,0.00,16.41,70.00,689.64,0.00,0.00,16.59
t_20211024_1112308_1,119317028#1_1,1180047185#6_0,truck,81.00,857.26,4.00,0.00,18.52,81.00,857.26,3.00,0.00,20.10
t_20211024_919462_1,-120273844#1_1,-120273887#1_1,truck,61.00,574.73,0.00,0.00,15.44,57.00,574.73,0.00,0.00,15.09
t_20211107_300218_15,-120273844#1_1,-120273887#1_1,truck,59.00,574.73,0.00,0.00,15.58,57.00,574.73,0.00,0.00,14.83
t_20211114_3082825_1,635620393#1_0,635620393#0_0,DEFAULT_VEHTYPE,91.00,741.84,7.00,0.00,29.45,92.00,741.84,8.00,0.00,32.40
t_20211128_1639976_1,233696887#1_1,233696887#0_1,DEFAULT_VEHTYPE,48.00,551.33,0.00,0.00,11.34,117.00,551.33,49.00,0.00,60.52
t_20211128_1146526_51,-277743732#1_1,120273844#1_1,truck,57.00,575.57,0.00,0.00,17.67,61.00,575.57,0.00,0.00,19.65
t_20211024_1520512_1,137066290#0_1,995974549#5_1,DEFAULT_VEHTYPE,62.00,718.28,0.00,0.00,10.90,69.00,718.28,0.00,0.00,10.91
t_20211128_878744_1,646823318#7_0,646823318#11_0,DEFAULT_VEHTYPE,50.00,643.35,0.00,0.00,5.69,40.00,643.35,0.00,0.00,4.85
t_20211017_382597_1,-819169272#4_1,819169272#4_1,truck,67.00,659.04,0.00,0.00,16.19,66.00,659.04,0.00,0.00,16.04
t_20211114_614538_23,651354807#3_0,651351926#4_0,DEFAULT_VEHTYPE,67.00,829.91,0.00,0.00,10.15,65.00,829.91,0.00,0.00,8.83
t_20211114_492459_42,-277743732#1_1,120273844#1_1,truck,69.00,575.57,3.00,0.00,26.10,61.00,575.57,0.00,0.00,16.28
t_20211003_3859185_1,79292405#9_1,-79292405#9_1,truck,117.00,1026.57,4.00,0.00,39.58,112.00,1026.57,1.00,0.00,33.30
t_20211031_1126928_6,-798745729#4_1,277743732#1_1,DEFAULT_VEHTYPE,132.00,803.33,52.00,0.00,71.28,138.00,803.33,47.00,0.00,68.96
t_20211128_2147774_36,-277743732#1_1,-229142916#37_1,truck,128.00,1283.87,8.00,0.00,39.23,123.00,1283.87,8.00,0.00,41.20
t_20211003_1650323_1,-268014002#3_1,-589651779_1,DEFAULT_VEHTYPE,128.00,1365.10,0.00,0.00,15.80,116.00,1365.10,0.00,0.00,15.42
t_20211003_125463_1,101977326#17_1,890899884#3_1,truck,76.00,698.99,0.00,0.00,19.35,73.00,698.99,0.00,0.00,19.19
t_20211121_315741_1,-95518297#6_1,-893581524#8_1,DEFAULT_VEHTYPE,142.00,1790.99,0.00,0.00,14.35,142.00,1790.99,0.00,0.00,13.80
