id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss,depart_lon,depart_lat,arrival_lon,arrival_lat
t_20211031_2167629_6,248174349_0,243877276#1_1,DEFAULT_VEHTYPE,53.0,632.69,0.0,0.0,14.1,55.0,632.69,0.0,0.0,14.02,139.693765,35.845376,139.693832,35.845174
t_20211024_634417_1,-120273844#1_1,-120273887#1_1,DEFAULT_VEHTYPE,54.0,576.83,0.0,0.0,10.04,54.0,576.83,0.0,0.0,9.99,139.697652,36.007235,,
t_20211128_410319_1,-120273844#1_1,-120273887#1_1,DEFAULT_VEHTYPE,53.0,576.83,0.0,0.0,9.8,54.0,576.83,0.0,0.0,11.79,139.697652,36.007235,,
t_20211017_4633904_1,-100976223#1_1,-120957314_1,DEFAULT_VEHTYPE,61.0,623.71,3.0,0.0,15.12,63.0,623.71,2.0,0.0,13.61,139.911898,35.99996,139.910886,36.005199
t_20211017_141812_1,651197726#0_0,-285604737#1_1,DEFAULT_VEHTYPE,72.0,871.21,0.0,0.0,9.6,78.0,871.21,0.0,0.0,9.69,139.902606,35.92926,139.900583,35.934369
t_20211121_833024_30,-277743732#1_1,120273844#1_1,DEFAULT_VEHTYPE,59.0,577.67,0.0,0.0,11.6,52.0,577.67,0.0,0.0,9.97,,,139.697652,36.007235
t_20211024_195008_1,605105364#3_1,233696887#1_1,DEFAULT_VEHTYPE,66.0,541.62,13.0,0.0,23.05,63.0,541.62,13.0,0.0,25.54,139.695004,35.908113,139.694932,35.908121
t_20211128_1649271_1,119770963_1,-119770963_1,DEFAULT_VEHTYPE,57.0,629.14,0.0,0.0,12.32,68.0,629.14,0.0,0.0,12.23,139.695901,35.899227,139.695901,35.899227
t_20211010_4934109_1,229626862#0_1,-120112442#16_1,DEFAULT_VEHTYPE,67.0,689.64,0.0,0.0,16.41,70.0,689.64,0.0,0.0,16.59,139.842889,35.793269,139.836357,35.793189
t_20211024_1112308_1,119317028#1_1,1180047185#6_0,truck,81.0,857.26,4.0,0.0,18.52,81.0,857.26,3.0,0.0,20.1,139.788537,36.00691,139.788676,36.006973
t_20211024_919462_1,-120273844#1_1,-120273887#1_1,truck,61.0,574.73,0.0,0.0,15.44,57.0,574.73,0.0,0.0,15.09,139.697652,36.007235,,
t_20211107_300218_15,-120273844#1_1,-120273887#1_1,truck,59.0,574.73,0.0,0.0,15.58,57.0,574.73,0.0,0.0,14.83,139.697652,36.007235,,
t_20211114_3082825_1,635620393#1_0,635620393#0_0,DEFAULT_VEHTYPE,91.0,741.84,7.0,0.0,29.45,92.0,741.84,8.0,0.0,32.4,139.80139,35.804858,139.80139,35.804858
t_20211128_1639976_1,233696887#1_1,233696887#0_1,DEFAULT_VEHTYPE,48.0,551.33,0.0,0.0,11.34,117.0,551.33,49.0,0.0,60.52,139.694946,35.908973,139.694946,35.908973
